municipalityName,isochrone_within_5_mode_cycling-regular,isochrone_within_10_mode_cycling-regular,isochrone_within_15_mode_cycling-regular,isochrone_within_5_mode_foot-walking,isochrone_within_10_mode_foot-walking,isochrone_within_15_mode_foot-walking,isochrone_within_5_mode_driving-car,isochrone_within_10_mode_driving-car,isochrone_within_15_mode_driving-car
BachenbÃ¼lach,4014.0,26145.0,35374.0,829.0,3172.0,8759.0,10342.0,57991.0,182251.0
BÃ¼lach,15019.0,27776.0,37449.0,201.0,3674.0,12722.0,24673.0,63699.0,180369.0
DÃ¤gerlen,582.0,4715.0,11367.0,217.0,330.0,539.0,7263.0,27741.0,86289.0
Egg,1843.0,15474.0,37841.0,86.0,303.0,907.0,11178.0,60448.0,151081.0
Gossau (ZH),4142.0,23380.0,38925.0,329.0,1058.0,3009.0,6675.0,47008.0,127277.0
GrÃ¼ningen,2856.0,7407.0,24611.0,754.0,1942.0,2624.0,3594.0,45772.0,138588.0
Henggart,2758.0,5627.0,12419.0,1457.0,2577.0,2708.0,5000.0,29026.0,86777.0
Hettlingen,3238.0,10841.0,20582.0,1519.0,2602.0,3172.0,7563.0,47491.0,133551.0
Hinwil,2267.0,22901.0,41276.0,195.0,1066.0,1869.0,10316.0,50321.0,120065.0
Hombrechtikon,1165.0,18135.0,40231.0,116.0,407.0,745.0,21589.0,65113.0,123128.0
HÃ¶ri,5869.0,16998.0,45628.0,65.0,1354.0,4294.0,14357.0,72656.0,180612.0
Kleinandelfingen,2622.0,4152.0,8816.0,318.0,1861.0,2736.0,3423.0,17462.0,42882.0
Meilen,361.0,8339.0,30632.0,59.0,149.0,455.0,11381.0,54588.0,111069.0
MÃ¤nnedorf,7538.0,22588.0,42746.0,91.0,1033.0,6983.0,14722.0,45703.0,79003.0
MÃ¶nchaltorf,446.0,12417.0,25869.0,23.0,206.0,363.0,3987.0,45357.0,186812.0
Niederglatt,7672.0,22200.0,34555.0,215.0,1824.0,5932.0,9105.0,36178.0,102506.0
Niederhasli,4916.0,21787.0,32069.0,22.0,1118.0,3375.0,15602.0,49174.0,137484.0
Oberglatt,5462.0,20890.0,33664.0,318.0,1910.0,4882.0,13038.0,44676.0,115994.0
Oetwil am See,4596.0,8627.0,42697.0,812.0,2511.0,4066.0,6190.0,63535.0,152034.0
Regensdorf,5413.0,19450.0,45208.0,300.0,1976.0,3526.0,15104.0,84805.0,267570.0
RÃ¼mlang,1326.0,15641.0,24705.0,498.0,1072.0,1178.0,7231.0,39941.0,185230.0
SeegrÃ¤ben,2584.0,19721.0,46638.0,133.0,683.0,1985.0,11738.0,86246.0,177821.0
StÃ¤fa,11664.0,22935.0,41304.0,2477.0,7888.0,10984.0,23121.0,52954.0,93368.0
Thalheim an der Thur,294.0,1413.0,5136.0,0.0,88.0,284.0,2384.0,18886.0,49603.0
Uetikon am See,6304.0,25755.0,39647.0,168.0,1267.0,4352.0,16272.0,54647.0,114337.0
Wetzikon (ZH),9911.0,27879.0,43169.0,1169.0,4493.0,10043.0,25843.0,53887.0,148919.0
ZÃ¼rich,7571.0,27303.0,107303.0,455.0,3094.0,6644.0,8103.0,100498.0,354005.0
