municipalityName,unique_product_count,total_pop_5,total_pop_10,total_pop_15
Uetikon am See,178,16272.0,54647.0,114337.0
MÃ¤nnedorf,177,14722.0,45703.0,79003.0
Oetwil am See,180,6190.0,63535.0,152034.0
Wetzikon (ZH),176,25843.0,53887.0,148919.0
Egg,175,11178.0,60448.0,151081.0
Gossau (ZH),174,6675.0,47008.0,127277.0
Niederhasli,173,15602.0,49174.0,137484.0
Oberglatt,173,13038.0,44676.0,115994.0
Niederglatt,173,9105.0,36178.0,102506.0
Hombrechtikon,178,21589.0,65113.0,123128.0
Meilen,171,11381.0,54588.0,111069.0
MÃ¶nchaltorf,175,3987.0,45357.0,186812.0
Hettlingen,180,7563.0,47491.0,133551.0
Hinwil,171,10316.0,50321.0,120065.0
DÃ¤gerlen,184,7263.0,27741.0,86289.0
BachenbÃ¼lach,172,10342.0,57991.0,182251.0
StÃ¤fa,168,23121.0,52954.0,93368.0
GrÃ¼ningen,172,3594.0,45772.0,138588.0
RÃ¼mlang,169,7231.0,39941.0,185230.0
BÃ¼lach,171,24673.0,63699.0,180369.0
Thalheim an der Thur,175,2384.0,18886.0,49603.0
HÃ¶ri,172,14357.0,72656.0,180612.0
Regensdorf,159,15104.0,84805.0,267570.0
SeegrÃ¤ben,166,11738.0,86246.0,177821.0
ZÃ¼rich,160,8103.0,100498.0,354005.0
Kleinandelfingen,182,3423.0,17462.0,42882.0
Henggart,178,5000.0,29026.0,86777.0
